
0xFFFF  0xF7FF  0xFFDF  0xFFDF  0xF5FF  0xDFBE  0xAF7F  0xFDFB  0xDFFF  0xBE7F  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xFFFF  
0xFFF7  0xFBEF  0xFEFF  0x5FFE  0xF7FF  0xFFFF  0xDFFF  0xF7FF  0xFFFF  0xFFFF  0xFDFF  0xFFED  0xFEFF  0xFFFF  0xFF7E  
0xFBFF  0xDFFF  0xFFFF  0xFFFF  0xFFFA  0xF9BF  0xFFFE  0xFFFF  0xFFFF  0xFFFF  0xFBF7  0xFDDF  0xFFFF  0xFEFB  0xFFF7  
0xFBFF  0xFFBF  0xFFFF  0xFFDE  0xFFFF  0xFE7D  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xFEFF  0xFFFF  0xFFFF  0xFF6D  
0xEFFF  0xFFFF  0x7DFF  0xFFDF  0xFFFF  0x6FF7  0xFFFF  0xBFBF  0xDFFF  0xFFFF  0xFFEF  0xFFFF  0xFFFF  0xDFDF  0x3C7F  
0xFFFF  0xFFFF  0x7FFD  0xFF7F  0xFFFF  0xBF7F  0xFFFD  0xFFFA  0xFFFF  0xFFBE  0xFDFF  0x7FFF  0x5FFB  0xFF67  0xFEFF  
0xF7FF  0xFFBF  0x5FFF  0xFFFE  0xFFEF  0xB7DF  0x7FFF  0xFFF7  0xFEFE  0xFFF7  0xFFDF  0xFFFF  0xD9DB  0xDD7F  0xDEF9  
0xFFFF  0xFFFF  0xFF7F  0xFFFF  0xAFB7  0xFFFF  0xFF7F  0xFFF7  0xFEFF  0xFEDF  0x7FF7  0xDFDF  0xBEFF  0xFF9F  0xFFFE  
0xFDFB  0x5F7F  0xFDDF  0xAFFB  0xFFFF  0xFEF8  0xFFF7  0xDFFF  0xFDFE  0x3FEF  0x7FDF  0xFFFF  0xDFBF  0xFF7F  0xFFFF  
0xE7FF  0xDFFF  0xFFFF  0xFFF7  0xBFFF  0xFFFF  0xDFFF  0xF7FE  0xFFFF  0xBEFF  0xFFFF  0xFFEF  0x5FFF  0xFDFF  0xFFFA  
0xFFFF  0xBFFF  0xBFFF  0xDFEF  0xFFFE  0xFFBF  0xFFED  0xDFFF  0xFFFF  0xFF7F  0xEFFD  0xFFBF  0xDFFD  0xFF7F  0xFBDF  
0xFFFD  0xFFFF  0xFD3F  0xDEFF  0xFFFF  0xFFFF  0xFF7F  0xFFFF  0xBFDF  0xEFFB  0xFFFF  0x7DFF  0xFEFB  0xFFCD  0xBFF7  
0xFFFF  0xFFFF  0x7FFF  0xFEF3  0xFEFF  0xF7FF  0xFFFF  0xFFFB  0xFFFF  0xBEFD  0xF5FF  0xFFFF  0xBDDF  0xFFFF  0xFFFF  
0xFEFF  0x67FF  0xF6F7  0xDEFF  0x7FFF  0xFFFF  0xFFFF  0xFFFF  0xDFFF  0xCFFF  0xFFFF  0xFFFF  0xFFF7  0xDFFF  0xBFFF  
0xFBFE  0xFFDD  0xBDFF  0x7FF7  0xBFFF  0xB7FF  0xEFFD  0xFFBF  0x7FFF  0xFFFE  0xF6F7  0xFFFF  0xF77E  0xFFFF  0xFFBF  
0xDFFF  0x5FFF  0xFFFF  0xFDFF  0xFFF7  0xBFF7  0xF72F  0xFFDB  0xFDFF  0xFDF7  0xFFFF  0xFFF6  0xBFFF  0x7FFF  0xBFFD  
0xFFEF  0xFBBF  0xFEFF  0xFBFF  0xEEFC  0xFFEF  0xFBFE  0xFFFB  0xFDFF  0xFFDF  0xF7FF  0xFFFF  0xFFDF  0xEFFF  0x7FFF  
0xFFDF  0xBFFF  0xFFFF  0xFFFF  0xFFFF  0xFFB7  0xFFBF  0xDFFF  0xFFFF  0xFFFF  0xDEFF  0xD7FF  0xF7EE  0xD7FF  0xFBFF  
0xFBFF  0xFFFF  0xF73F  0xFFFD  0xDFFE  0xFFFF  0xFFFF  0xDFFF  0xFFFF  0xFFFF  0x7FFE  0xEBFF  0xFFF7  0xF7FE  0xFFEF  
0xFFFF  0xFFFB  0xFFFF  0x7BFF  0xFFFF  0xBF9F  0xFFFF  0xBBFF  0xFFFB  0xFFDF  0xFFFF  0xFDF7  0xDFFF  0xBEF7  0xFF7F  
0xFFF3  0xBFFF  0xF5FF  0xFFDF  0xFFDA  0xFFDF  0xFFFE  0xDFFF  0xFBFF  0xFFFB  0xFBFF  0xFFFD  0xDFFF  0xFFF7  0xDDFE  
0xFFFF  0xFBF7  0xFFFF  0xBFDF  0xF9DD  0xFFFF  0xFFFF  0xFFFF  0xFFFB  0xDFFD  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xFFFF  
0xFFFF  0xDFFF  0xBFBF  0xDFFF  0xEDFF  0xFFF7  0xBFE7  0xF7FF  0xFFFF  0xFBFF  0xF7FF  0xFFFB  0xFFFF  0xBFFB  0xFFFF  
0xD5FB  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xBFFF  0xFF77  0x7FFF  0xFF7F  0xFBFF  0xFFF7  0xFFFF  0xEFDF  0xF5FD  0x7FFF  
0xFFFF  0x7FFD  0xFFFF  0x7FFF  0xFFFF  0x7FF7  0xFFBF  0xF77F  0xFEFD  0xF7FF  0xE7FF  0xFDFF  0x7FFF  0xFFFF  0xFFDF  
0xDFFF  0xFFFB  0xFF7F  0xFFFF  0x7BFF  0xFFFF  0xFFED  0xEFFA  0xFBFF  0xFEFF  0xFFFF  0xFEFF  0xE7BF  0xFFFF  0x7BDF  
0xD7FF  0xFFFF  0xDFFE  0xFCFF  0xF7FB  0xFF5F  0xBFED  0xFFFF  0xFFFF  0xFFFF  0xFDFE  0xFFDE  0xFFFF  0xFFFF  0xFFFF  
0xFFFF  0xFBF7  0x7DBD  0xEFFF  0x77FF  0xFF7E  0xFFDF  0xDBFF  0xFFFF  0xDEBF  0xFFFF  0x7FFF  0xF7FD  0xFFFF  0xFFFF  
0xFFBF  0xFF6F  0xF7FF  0x7FFF  0xEFDD  0x7FFE  0xFD7F  0xFFEF  0xFFFF  0xDFFE  0x7EFF  0xFFFF  0x7FFF  0xFFFF  0xF7FF  
